a11,a12,a21,a22,b11,b12,b21,b22,c11,c12,c21,c22
-11,-5,-11,-6,-8,5,-1,-14,93,15,94,29
-8,-10,-15,-6,-17,9,-11,13,246,-202,321,-213
8,20,-5,0,-6,-10,-1,-9,-68,-260,30,50
2,-13,-16,7,12,-13,-18,-20,258,234,-318,68
4,-12,0,17,20,12,-3,12,116,-96,-51,204
11,2,13,0,5,20,-12,15,31,250,65,260
15,19,11,-9,-10,17,-10,-4,-340,179,-20,223
11,-2,-10,-3,20,-19,0,1,220,-211,-200,187
-9,-15,-1,15,14,13,4,12,-186,-297,46,167
-6,-13,-7,3,10,2,-16,20,148,-272,-118,46
-2,8,-15,12,-16,-13,-16,-5,-96,-14,48,135
6,3,-12,5,5,12,-2,-2,24,66,-70,-154
-20,-8,-19,10,14,-7,4,-5,-312,180,-226,83
4,-10,19,2,13,5,-1,8,62,-60,245,111
-9,7,-8,-11,-8,-14,19,-6,205,84,-145,178
-7,9,-18,-8,-20,16,4,13,176,5,328,-392
-16,-19,4,15,-13,-8,-11,17,417,-195,-217,223
-10,16,9,-16,6,5,1,8,-44,78,38,-83
18,2,10,-7,-16,6,-20,-8,-328,92,-20,116
-8,-14,-14,18,-9,-16,-19,-16,338,352,-216,-64
12,-10,-12,-20,15,-13,-19,14,370,-296,200,-124
6,6,5,9,-20,16,5,3,-90,114,-55,107
2,6,-16,9,7,-14,3,3,32,-10,-85,251
-16,7,-18,5,-3,-13,-10,-6,-22,166,4,204
-19,15,5,-5,-6,-16,13,10,309,454,-95,-130
20,7,2,4,-17,-2,-14,11,-438,37,-90,40
5,-18,-10,-10,9,6,11,-18,-153,354,-200,120
-13,0,18,8,-15,2,11,19,195,-26,-182,188
-4,11,18,10,19,8,-4,4,-120,12,302,184
-2,-1,8,-18,7,8,8,17,-22,-33,-88,-242
14,-1,6,6,15,4,12,-20,198,76,162,-96
-13,6,19,3,12,-6,-10,-9,-216,24,198,-141
3,7,-7,10,-3,1,13,6,82,45,151,53
-2,9,-16,1,9,9,-7,-9,-81,-99,-151,-153
-8,6,-20,6,-1,-14,13,10,86,172,98,340
1,5,3,12,-19,4,-15,8,-94,44,-237,108
-7,4,-10,-12,-13,6,-11,0,47,-42,262,-60
-17,19,-3,-11,4,-8,-11,-12,-277,-92,109,156
-13,18,-20,-16,-5,-1,16,9,353,175,-156,-124
5,6,12,20,7,-12,13,-12,113,-132,344,-384
-20,-16,-9,19,19,14,-15,-4,-140,-216,-456,-202
19,-5,9,5,-7,-15,-7,-11,-98,-230,-98,-190
-14,-19,16,-14,11,3,-9,-20,17,338,302,328
-9,-17,-15,-18,-6,-17,-15,-19,309,476,360,597
-17,-17,6,15,-10,2,-4,-14,238,204,-120,-198
4,-19,-7,-17,3,16,8,17,-140,-259,-157,-401
-9,10,14,10,-18,2,6,-2,222,-38,-192,8
7,8,-12,-14,3,10,-1,-9,13,-2,-22,6
3,12,16,0,9,-13,-19,-8,-201,-135,144,-208
3,-20,-20,5,3,16,4,11,-71,-172,-40,-265
8,-19,6,-1,11,16,-16,-16,392,432,82,112
0,1,-11,-12,20,-4,-19,6,-19,6,8,-28
5,-8,-19,15,-4,-17,13,7,-124,-141,271,428
-17,4,15,18,0,-20,1,-5,4,320,18,-390
5,9,6,3,7,19,-3,9,8,176,33,141
-10,4,4,13,7,-9,-16,-9,-134,54,-180,-153
16,8,0,-13,19,-8,-2,-3,288,-152,26,39
-11,4,11,8,-17,20,-17,-5,119,-240,-323,180
-14,4,8,4,-15,-9,7,-2,238,118,-92,-80
11,0,-7,10,-2,-2,-8,20,-22,-22,-66,214
-11,-13,15,-10,5,-8,-9,7,62,-3,165,-190
13,9,-3,-15,-13,0,7,-19,-106,-171,-66,285
17,5,20,-3,14,6,-20,18,138,192,340,66
-6,11,-10,-13,-12,19,-12,9,-60,-15,276,-307
-5,4,-5,18,-3,-7,-2,-9,7,-1,-21,-127
14,-9,-4,-5,-11,19,9,11,-235,167,-1,-131
4,-15,12,14,6,-14,-1,-12,39,124,58,-336
6,20,0,11,-19,-1,-15,-5,-414,-106,-165,-55
10,20,-17,7,5,13,5,5,150,230,-50,-186
16,8,12,-17,-17,1,2,-11,-256,-72,-238,199
-10,3,-3,5,12,10,-20,-14,-180,-142,-136,-100
-17,-20,-17,4,14,20,12,-6,-478,-220,-190,-364
-7,-18,-19,8,15,-18,-6,20,3,-234,-333,502
-20,-20,6,-2,-1,-13,11,4,-200,180,-28,-86
-6,-12,8,-3,19,-19,-12,-8,30,210,188,-128
-16,-19,12,-18,18,-11,-16,-12,16,404,504,84
3,18,-3,12,1,12,7,8,129,180,81,60
-10,-2,-9,-12,8,-19,9,-1,-98,192,-180,183
-6,-11,2,-8,-9,-14,0,15,54,-81,-18,-148
19,-7,-15,-5,-13,17,-4,-14,-219,421,215,-185
12,-7,-15,4,-3,18,5,5,-71,181,65,-250
-2,10,2,-3,8,13,0,0,-16,-26,16,26
-5,-1,-4,1,-20,9,3,2,97,-47,83,-34
-12,-9,2,-19,-4,13,11,-15,-51,-21,-217,311
-13,-3,-3,16,-10,6,-5,18,145,-132,-50,270
-2,8,-19,-12,13,16,11,0,62,-32,-379,-304
-6,-5,16,-13,-4,7,-3,6,39,-72,-25,34
-12,-13,10,18,-2,9,-8,3,128,-147,-164,144
19,14,-14,-18,10,8,3,11,232,306,-194,-310
10,17,-1,3,-8,19,-10,13,-250,411,-22,20
9,17,0,-9,-4,14,10,11,134,313,-90,-99
-2,-4,-11,13,11,5,19,-19,-98,66,126,-302
2,2,12,-13,-5,-16,-16,18,-42,4,148,-426
0,-5,-4,9,-4,19,-4,6,20,-30,-20,-22
-3,-9,-8,2,15,-6,-9,10,36,-72,-138,68
11,12,13,-1,-14,-13,20,8,86,-47,-202,-177
-1,-11,1,15,-1,-7,3,13,-32,-136,44,188
-4,-20,0,-14,-1,13,-2,-15,44,248,28,210
-13,-10,8,4,-2,-18,14,-11,-114,344,40,-188
1,4,-2,9,-11,20,3,3,1,32,49,-13
-14,20,-10,2,18,20,-15,-19,-552,-660,-210,-238
2,-1,14,7,-4,-2,14,-11,-22,7,42,-105
10,-18,-5,-13,-6,2,-16,12,228,-196,238,-166
-20,7,8,-13,11,-18,-6,0,-262,360,166,-144
-2,-20,-8,7,15,-9,-9,-1,150,38,-183,65
13,13,14,-20,0,-5,2,-10,26,-195,-40,130
-18,-12,-5,17,-1,-2,14,6,-150,-36,243,112
-5,-14,14,-14,4,-19,20,-13,-300,277,-224,-84
4,10,-11,8,12,-2,-2,8,28,72,-148,86
14,2,-13,-20,17,-13,-2,-3,234,-188,-181,229
4,-7,18,-14,-9,-2,-13,18,55,-134,20,-288
12,2,-1,2,13,4,15,-3,186,42,17,-10
-17,-6,6,-19,10,11,11,-6,-236,-151,-149,180
13,-20,12,15,7,-1,13,10,-169,-213,279,138
-1,16,20,1,12,-12,-3,-11,-60,-164,237,-251
15,11,17,19,9,-9,13,-9,278,-234,400,-324
-19,-1,-6,5,12,13,15,10,-243,-257,3,-28
15,8,-17,12,19,-8,4,-1,317,-128,-275,124
17,-8,-4,11,20,2,-16,-14,468,146,-256,-162
10,16,15,0,20,-11,5,-12,280,-302,300,-165
10,-11,8,-4,-2,-7,-10,-20,90,150,24,24
2,18,5,2,-20,2,5,19,50,346,-90,48
-14,14,-9,-9,18,7,18,-11,0,-252,-324,36
20,20,-10,1,6,-4,12,4,360,0,-48,44
4,19,-8,2,-7,-6,7,3,105,33,70,54
-7,7,0,-1,-11,5,11,1,154,-28,-11,-1
3,-18,-8,-3,4,-5,-10,16,192,-303,-2,-8
-14,-6,13,5,-10,1,11,11,74,-80,-75,68
11,7,-14,-7,20,1,-7,4,171,39,-231,-42
-14,-4,-13,7,-9,20,12,-1,78,-276,201,-267
-14,-11,0,17,8,-20,16,5,-288,225,272,85
-10,9,-4,-13,-18,-19,-19,3,9,217,319,37
0,2,18,17,-1,-3,15,20,30,40,237,286
19,3,11,-19,8,4,-6,3,134,85,202,-13
6,8,-19,0,20,-17,-1,-7,112,-158,-380,323
-6,-7,-5,5,-15,9,-3,-3,111,-33,60,-60
-15,10,13,-1,0,15,-15,11,-150,-115,15,184
0,14,13,7,6,19,13,17,182,238,169,366
11,4,-17,1,19,-3,-17,-3,141,-45,-340,48
-11,11,-17,3,-8,14,-2,-16,66,-330,130,-286
-1,-17,-17,6,9,-20,4,-13,-77,241,-129,262
19,2,-7,-20,-15,9,8,6,-269,183,-55,-183
-13,14,20,5,-1,-1,7,9,111,139,15,25
-19,-18,1,-14,7,4,-8,-7,11,50,119,102
-6,-11,15,16,2,-14,0,-10,-12,194,30,-370
-1,-14,17,11,-14,-15,-18,11,266,-139,-436,-134
15,0,-6,-7,1,-11,12,-14,15,-165,-90,164
19,-6,4,-13,-16,20,4,-14,-328,464,-116,262
-11,6,2,19,-5,18,-15,-20,-35,-318,-295,-344
11,3,-19,-8,-4,-12,-19,-10,-101,-162,228,308
-13,6,17,-6,-8,14,-11,-3,38,-200,-70,256
17,-16,-4,-16,-11,-10,-12,-12,5,22,236,232
-2,-18,-2,-10,-4,17,-14,-7,260,92,148,36
2,10,18,-16,12,-16,-13,0,-106,-32,424,-288
2,1,-3,13,-11,17,18,-17,-4,17,267,-272
18,17,-5,3,-2,1,-5,0,-121,18,-5,-5
-20,11,-19,7,6,-8,-14,-10,-274,50,-212,82
-2,18,18,6,-12,20,-17,5,-282,50,-318,390
11,19,6,4,-5,15,17,5,268,260,38,110
-16,12,0,-9,-16,-11,10,14,376,344,-90,-126
-18,-15,13,5,18,-17,18,-1,-594,321,324,-226
3,14,-17,14,7,-19,11,-17,175,-295,35,85
9,1,13,0,18,19,18,-2,180,169,234,247
13,-18,-18,-17,2,9,-10,-2,206,153,134,-128
10,-11,16,-18,-1,6,15,5,-175,5,-286,6
-20,14,-19,18,11,14,-7,-8,-318,-392,-335,-410
7,-18,-19,9,14,2,-12,-20,314,374,-374,-218
13,-18,-10,2,14,-18,-2,-20,218,126,-144,140
-9,9,-20,-6,1,6,4,5,27,-9,-44,-150
1,10,-8,-8,-19,-5,-20,-5,-219,-55,312,80
-19,-15,-11,-5,-17,17,-6,8,413,-443,217,-227
2,14,5,18,-14,15,9,14,98,226,92,327
2,14,2,-13,-12,-17,-5,-15,-94,-244,41,161
8,14,4,-11,14,17,0,2,112,164,56,46
8,1,-5,15,0,-17,-10,-10,-10,-146,-150,-65
-17,-1,-11,13,-12,-16,7,5,197,267,223,241
19,-4,5,0,-2,-4,-1,16,-34,-140,-10,-20
17,4,-7,-19,16,7,18,-18,344,47,-454,293
0,13,-15,7,4,17,-2,-15,-26,-195,-74,-360
14,6,-8,7,-19,-4,4,18,-242,52,180,158
-17,0,-11,19,-13,-12,3,18,221,204,200,474
-18,5,8,1,6,10,20,14,-8,-110,68,94
-15,-3,17,1,19,-7,4,12,-297,69,327,-107
-13,7,20,20,6,14,-20,2,-218,-168,-280,320
-8,15,-3,18,-9,11,20,-17,372,-343,387,-339
-2,18,11,10,-11,-14,7,-13,148,-206,-51,-284
-3,-4,19,-19,-1,11,-11,-19,47,43,190,570
-7,13,-13,14,-2,19,-2,6,-12,-55,-2,-163
11,12,20,15,12,-6,0,19,132,162,240,165
-16,20,-8,-13,6,-18,0,11,-96,508,-48,1
-20,-7,16,4,-10,4,-18,11,326,-157,-232,108
4,-15,6,-14,8,-1,-5,-3,107,41,118,36
1,2,16,13,6,-6,15,-1,36,-8,291,-109
20,-17,4,-13,0,-11,3,18,-51,-526,-39,-278
11,4,-8,9,12,0,3,13,144,52,-69,117
-4,-11,0,15,-1,-20,-17,19,191,-129,-255,285
2,-3,-19,0,-12,-6,4,-16,-36,36,228,114
8,-2,-4,3,-4,2,3,-17,-38,50,25,-59
7,12,18,15,-10,12,-11,-2,-202,60,-345,186
-4,6,-2,17,-1,-13,12,-18,76,-56,206,-280
-7,-17,-10,-18,-2,10,-17,-4,303,-2,326,-28
0,13,-11,-7,-3,-9,1,-1,13,-13,26,106
17,2,-20,3,-5,-11,-5,19,-95,-149,85,277
-9,20,13,17,-13,10,0,4,117,-10,-169,198
3,-14,1,4,-17,-14,10,-15,-191,168,23,-74
-4,7,17,13,-5,15,12,18,104,66,71,489
-2,12,11,18,-5,-20,12,-1,154,28,161,-238
-12,-13,-16,-17,8,19,17,10,-317,-358,-417,-474
12,4,-3,8,15,-1,-20,3,100,0,-205,27
16,8,14,9,-2,12,-10,-16,-112,64,-118,24
8,10,5,10,-14,16,-8,17,-192,298,-150,250
-20,20,-3,-3,-10,-9,20,-20,600,-220,-30,87
2,7,-3,-8,6,-8,-18,-19,-114,-149,126,176
12,13,-13,-2,15,-9,17,-6,401,-186,-229,129
-13,-19,10,10,-8,-9,0,-13,104,364,-80,-220
4,0,18,-9,-18,-9,10,7,-72,-36,-414,-225
-10,0,-11,-8,19,3,20,9,-190,-30,-369,-105
-19,-14,20,-8,-20,0,-7,-3,478,42,-344,24
8,6,-8,-12,0,-11,10,-1,60,-94,-120,100
0,17,1,-8,18,-4,-10,8,-170,136,98,-68
16,15,-17,9,-10,-8,2,-16,-130,-368,188,-8
17,18,-3,20,19,-10,8,19,467,172,103,410
-4,19,14,17,14,-20,-11,2,-265,118,9,-246
-18,12,7,2,-6,16,4,-20,156,-528,-34,72
0,-8,-8,11,19,-15,19,-19,-152,152,57,-89
20,7,-16,-7,6,-19,-1,12,113,-296,-89,220
10,-19,13,18,7,14,20,1,-310,121,451,200
4,16,-16,4,11,-4,-8,14,-84,208,-208,120
4,18,-8,-17,-6,-6,17,9,282,138,-241,-105
19,2,0,-1,-6,15,14,-20,-86,245,-14,20
-14,-7,4,-6,-17,-4,1,5,231,21,-74,-46
13,-6,8,13,-8,15,20,17,-224,93,196,341
11,0,2,18,20,-4,10,6,220,-44,220,100
16,-12,-14,16,-12,14,11,9,-324,116,344,-52
10,-5,-14,1,6,-15,9,-14,15,-80,-75,196
2,-17,-18,8,-3,17,0,-1,-6,51,54,-314
-8,-14,6,12,-17,8,12,-3,-32,-22,42,12
-17,7,-4,-13,-16,-20,2,-9,286,277,38,197
-5,-17,15,15,-18,7,7,5,-29,-120,-165,180
-10,6,-3,-20,20,17,-12,0,-272,-170,180,-51
7,12,-9,0,8,-13,11,-6,188,-163,-72,117
16,5,-14,-9,-4,-4,-13,4,-129,-44,173,20
4,12,10,5,-17,5,-4,7,-116,104,-190,85
16,-9,14,-6,18,-3,-14,19,414,-219,336,-156
0,-14,-13,2,0,-6,-6,-3,84,42,-12,72
0,9,4,-14,14,8,-15,-8,-135,-72,266,144
-18,5,20,4,-5,-2,16,20,170,136,-36,40
-1,-11,20,-16,-20,-3,-2,-9,42,102,-368,84
4,-7,4,-13,5,12,-1,13,27,-43,33,-121
14,-14,-16,-4,-20,-19,-2,-11,-252,-112,328,348
6,-5,-19,-20,-6,19,10,-3,-86,129,-86,-301
9,7,13,-19,-1,2,-16,10,-121,88,291,-164
-9,-12,2,9,3,-20,1,15,-39,0,15,95
-3,6,10,7,19,20,-8,-1,-105,-66,134,193
-7,-9,15,-6,-5,-6,16,-14,-109,168,-171,-6
12,-8,14,-16,18,13,-14,-18,328,300,476,470
4,2,0,-4,-17,8,-11,9,-90,50,44,-36
2,0,14,-12,-20,7,12,-6,-40,14,-424,170
17,12,7,-5,-10,12,-16,-4,-362,156,10,104
20,12,7,19,4,12,-6,-4,8,192,-86,8
-4,3,8,-12,-9,1,9,3,63,5,-180,-28
13,-6,14,13,13,0,13,7,91,-42,351,91
-4,-13,13,3,17,-3,-10,0,62,12,191,-39
-12,20,-7,8,5,7,-18,-4,-420,-164,-179,-81
9,9,-3,15,15,13,-3,10,108,207,-90,111
9,-3,1,-6,-12,0,10,15,-138,-45,-72,-90
14,-10,6,-14,-8,-10,-1,10,-102,-240,-34,-200
-20,-18,19,-13,16,-19,16,-13,-608,614,96,-192
3,0,-13,-11,12,5,-9,14,36,15,-57,-219
-5,-13,-19,2,-17,-9,17,7,-136,-46,357,185
14,-6,16,18,8,-8,-9,-11,166,-46,-34,-326
17,15,-16,18,-8,-12,-14,10,-346,-54,-124,372
-1,17,10,-8,6,-1,-6,12,-108,205,108,-106
-17,8,18,2,13,16,-7,-6,-277,-320,220,276
17,0,-19,-9,3,-2,3,19,51,-34,-84,-133
-11,12,9,1,-9,-8,11,2,231,112,-70,-70
-18,-15,-9,7,11,-9,-20,-17,102,417,-239,-38
-9,-15,-4,16,-10,6,17,3,-165,-99,312,24
13,20,1,15,0,-17,10,-2,200,-261,150,-47
12,5,16,-13,-20,-8,-7,-15,-275,-171,-229,67
5,-5,-11,-16,-18,14,-4,-10,-70,120,262,6
-17,-1,9,3,5,0,12,-16,-97,16,81,-48
12,0,15,7,13,4,-16,-16,156,48,83,-52
13,17,-14,18,-4,17,-19,1,-375,238,-286,-220
-7,-10,3,-20,9,17,6,-6,-123,-59,-93,171
-9,-16,11,9,6,2,-15,2,186,-50,-69,40
9,-9,10,16,20,-6,-11,-9,279,27,24,-204
3,-10,11,11,20,12,10,-17,-40,206,330,-55
-2,-15,-6,-12,3,-11,11,-13,-171,217,-150,222
-17,-5,20,19,-10,-2,5,-6,145,64,-105,-154
1,-10,-4,-1,-13,-11,-19,4,177,-51,71,40
-16,-14,-15,12,13,18,-6,-18,-124,-36,-267,-486
20,-19,20,-3,-9,-18,-4,7,-104,-493,-168,-381
10,0,-20,-15,-11,-15,-18,-14,-110,-150,490,510
-17,18,7,-1,10,-19,-13,-9,-404,161,83,-124
18,-8,12,-15,0,11,-11,19,88,46,165,-153
-11,-1,8,-9,9,-10,12,19,-111,91,-36,-251
-6,-13,9,-7,-13,-17,14,14,-104,-80,-215,-251
16,-9,-15,0,12,14,-14,18,318,62,-180,-210
-11,-1,-19,20,16,-5,1,4,-177,51,-284,175
12,19,-1,9,15,18,15,1,465,235,120,-9
-15,18,5,18,-19,3,-10,-20,105,-405,-275,-345
17,9,10,-15,10,7,-18,7,8,182,370,-35
12,6,16,15,-20,-12,9,7,-186,-102,-185,-87
4,14,2,-19,2,-16,-19,0,-258,-64,365,-32
15,8,5,2,-16,-17,-15,-3,-360,-279,-110,-91
14,-19,9,-8,20,-18,17,-18,-43,90,44,-18
-5,-13,-3,9,-8,-10,20,-9,-220,167,204,-51
16,12,-8,14,15,18,-14,20,72,528,-316,136
-11,-3,1,-7,-16,16,-11,12,209,-212,61,-68
19,13,-11,-6,19,-3,13,15,530,138,-287,-57
9,3,-3,14,-15,-4,-14,9,-177,-9,-151,138
-19,-15,3,-9,17,11,-10,-17,-173,46,141,186
-2,1,9,-5,-14,4,3,-6,31,-14,-141,66
-16,3,15,14,-2,3,-3,-17,23,-99,-72,-193
-2,0,-7,11,-5,-18,2,-11,10,36,57,5
-5,17,-17,-7,-12,-16,5,-15,145,-175,169,377
12,8,2,13,10,-9,-4,15,88,12,-32,177
7,10,6,11,10,10,-2,-11,50,-40,38,-61
-3,4,-2,-16,14,7,9,-15,-6,-81,-172,226
-8,-3,-4,-1,16,-11,-1,-10,-125,118,-63,54
-10,-17,-10,-13,3,3,13,-1,-251,-13,-199,-17
14,-7,19,-2,4,-1,-20,19,196,-147,116,-57
2,-7,-8,-6,9,-19,0,-19,18,95,-72,266
-11,-8,-15,-2,9,4,-15,-20,21,116,-105,-20
1,7,-4,4,-11,-20,-3,-5,-32,-55,32,60
12,13,-8,-10,8,-7,-20,-6,-164,-162,136,116
-6,5,-2,11,-9,-16,11,-10,109,46,139,-78
-2,19,11,-17,12,-1,-10,-19,-214,-359,302,312
8,4,-2,10,9,-19,-14,-5,16,-172,-158,-12
17,4,-15,-13,-19,-9,12,18,-275,-81,129,-99
-11,-9,3,-1,-1,11,-14,-18,137,41,11,51
-12,-11,-9,3,4,-18,20,-19,-268,425,24,105
-6,19,3,5,-19,-6,-19,1,-247,55,-152,-13
-10,-9,4,-9,1,4,-8,2,62,-58,76,-2
2,-14,13,1,-14,6,5,-1,-98,26,-177,77
-19,-3,-7,-1,12,-9,-17,10,-177,141,-67,53
-12,18,16,-20,9,-12,-12,20,-324,504,384,-592
-13,-20,11,-20,20,-15,20,7,-660,55,-180,-305
-7,-12,-5,-19,-1,7,3,-5,-29,11,-52,60
5,-17,20,-15,-11,2,-12,-6,149,112,-40,130
-16,-9,-5,-19,-17,-9,-18,-1,434,153,427,64
9,-7,-12,-13,-19,-13,18,-10,-297,-47,-6,286
-5,-13,-18,12,-9,-12,8,-3,-59,99,258,180
-6,-10,10,-4,-1,6,14,19,-134,-226,-66,-16
-5,10,-14,17,0,-5,14,-17,140,-145,238,-219
-11,13,-10,-4,3,-15,-14,9,-215,282,26,114
17,-9,-18,18,13,-1,19,-9,50,64,108,-144
15,15,-12,15,-14,0,15,4,15,60,393,60
0,0,1,16,-6,6,-13,-19,0,0,-214,-298
-18,-20,-11,-6,12,6,-13,-20,44,292,-54,54
-19,6,2,20,-14,-9,6,10,302,231,92,182
1,-10,8,-6,-10,13,-5,5,40,-37,-50,74
9,-1,20,-12,-2,10,5,-8,-23,98,-100,296
-5,-8,12,-11,-8,6,-10,15,120,-150,14,-93
18,-18,2,-13,8,-2,-1,-11,162,162,29,139
13,19,18,-15,11,-8,8,-17,295,-427,78,111
14,-1,-7,3,9,2,2,-1,124,29,-57,-17
6,6,-18,-3,9,-8,-8,3,6,-30,-138,135
-4,2,20,14,-14,20,-1,13,54,-54,-294,582
16,0,10,12,-5,7,-17,-13,-80,112,-254,-86
13,11,-8,8,19,19,-6,14,181,401,-200,-40
-9,-10,20,-4,-10,10,12,6,-30,-150,-248,176
10,14,-1,-9,-12,3,-19,-3,-386,-12,183,24
-10,-15,-3,9,-3,7,12,0,-150,-70,117,-21
2,0,-11,3,3,12,7,-14,6,24,-12,-174
1,-3,20,18,12,-10,-2,20,18,-70,204,160
-18,10,5,18,-1,16,-8,11,-62,-178,-149,278
-15,-14,-11,-9,16,14,-6,6,-156,-294,-122,-208
-9,-14,7,19,-12,0,17,11,-130,-154,239,209
17,17,-3,12,-3,17,14,8,187,425,177,45
10,-5,18,20,12,2,20,-19,20,115,616,-344
8,20,-8,17,2,-5,-3,-2,-44,-80,-67,6
16,-11,-16,-7,-17,15,-9,-19,-173,449,335,-107
-18,11,-12,-20,0,4,-13,-9,-143,-171,260,132
14,17,3,-5,9,2,0,-20,126,-312,27,106
-19,14,6,-16,19,-9,15,-5,-151,101,-126,26
-19,7,6,-10,4,-19,-3,9,-97,424,54,-204
12,18,0,11,1,-13,13,-4,246,-228,143,-44
7,-4,3,-7,-8,-16,-7,18,-28,-184,25,-174
13,0,11,3,-20,11,-15,-4,-260,143,-265,109
1,15,-10,-11,-5,15,13,-1,190,0,-93,-139
18,15,-7,-20,7,4,10,9,276,207,-249,-208
-1,9,-17,-10,3,-17,20,0,177,17,-251,289
7,1,4,10,6,14,14,-5,56,93,164,6
-5,-18,11,-16,-12,17,18,-17,-264,221,-420,459
-1,19,1,-15,-3,-17,-6,16,-111,321,87,-257
-8,17,-16,12,1,-10,6,-14,94,-158,56,-8
10,-9,-20,-20,-5,14,0,-7,-50,203,100,-140
4,7,-9,-5,-5,-14,-15,15,-125,49,120,51
-17,13,17,9,-16,12,10,15,402,-9,-182,339
4,2,16,14,-19,-15,18,12,-40,-36,-52,-72
-20,-7,7,-1,7,10,16,-4,-252,-172,33,74
-2,-14,-16,17,5,-18,8,-14,-122,232,56,50
10,-17,-17,16,12,0,20,-16,-220,272,116,-256
-11,15,20,15,-13,-2,16,19,383,307,-20,245
18,16,1,-10,3,-10,-20,6,-266,-84,203,-70
-19,13,3,7,-5,5,-8,4,-9,-43,-71,43
18,-8,-5,-13,-5,-10,-13,14,14,-292,194,-132
-18,1,6,-17,9,-2,-15,7,-177,43,309,-131
-17,-2,-2,12,1,17,9,5,-35,-299,106,26
-15,14,6,-11,-5,2,-15,-15,-135,-240,135,177
5,18,-17,10,-13,-15,-16,-9,-353,-237,61,165
-1,-18,-7,12,12,2,-10,-19,168,340,-204,-242
12,15,6,20,20,17,-2,-19,210,-81,80,-278
-19,-1,-10,12,14,19,-9,15,-257,-376,-248,-10
-9,-13,-3,-5,-15,5,-1,15,148,-240,50,-90
-5,-7,-17,7,13,-17,-6,-10,-23,155,-263,219
10,-15,15,5,-17,-17,-8,-6,-50,-80,-295,-285
5,13,5,-11,-4,-20,6,-3,58,-139,-86,-67
0,-20,-8,1,2,-6,18,-7,-360,140,2,41
-9,-20,11,-13,-16,6,-8,-17,304,286,-72,287
-2,-6,8,-14,16,7,-19,-9,82,40,394,182
-17,5,20,-6,4,16,18,6,22,-242,-28,284
-14,-2,-8,3,-15,5,-17,-14,244,-42,69,-82
-18,18,-20,3,20,-14,17,5,-54,342,-349,295
-2,14,5,-20,12,-13,-12,14,-192,222,300,-345
7,-14,8,6,-8,14,-16,12,168,-70,-160,184
-9,-12,10,-13,2,-8,-1,3,-6,36,33,-119
-2,-1,-15,2,11,-16,15,-19,-37,51,-135,202
16,-12,4,-2,13,-6,-12,1,352,-108,76,-26
1,20,12,-8,-20,8,19,-4,360,-72,-392,128
16,-9,5,12,3,-8,-12,-6,156,-74,-129,-112
9,10,-6,12,-10,0,-20,15,-290,150,-180,180
-18,7,-16,14,20,-8,-4,-3,-388,123,-376,86
20,-14,2,11,11,17,-5,0,290,340,-33,34
-11,-18,19,3,7,-1,11,1,-275,-7,166,-16
-10,-18,11,5,18,8,6,10,-288,-260,228,138
1,-6,-3,4,-8,-9,-12,-11,64,57,-24,-17
0,-5,2,17,-3,12,5,-14,-25,70,79,-214
-13,-7,1,20,19,19,-4,-18,-219,-121,-61,-341
-5,-1,7,16,-20,-14,-10,4,110,66,-300,-34
-9,-18,12,-4,-14,13,-18,-12,450,99,-96,204
1,-17,-20,-16,-1,8,20,-18,-341,314,-300,128
-18,-4,15,-2,-8,17,1,-5,140,-286,-122,265
-16,14,-19,15,-13,-6,8,-14,320,-100,367,-96
5,-8,4,-7,14,-7,-7,20,126,-195,105,-168
-11,-13,-3,-6,11,-18,-3,-13,-82,367,-15,132
3,-6,2,-19,5,19,-6,16,51,-39,124,-266
15,0,17,7,9,-8,3,-6,135,-120,174,-178
9,10,3,-3,12,-9,4,14,148,59,24,-69
-14,-12,5,-3,7,4,6,14,-170,-224,17,-22
-11,19,0,18,3,15,-6,-10,-147,-355,-108,-180
-9,5,-1,11,-8,-19,-20,11,-28,226,-212,140
7,10,13,-18,-5,-3,-17,3,-205,9,241,-93
-2,1,9,0,-5,15,11,14,21,-16,-45,135
-3,-7,9,11,1,-14,-2,6,11,0,-13,-60
-14,11,-4,5,15,-9,2,-2,-188,104,-50,26
7,16,18,-14,17,-9,9,-6,263,-159,180,-78
-3,9,-3,15,-7,-8,-13,-19,-96,-147,-174,-261
13,13,13,-13,-18,-3,-3,20,-273,221,-195,-299
-9,-10,15,14,1,5,3,-17,-39,125,57,-163
-4,-18,-4,-7,-18,10,-16,10,360,-220,184,-110
-18,-8,16,3,17,14,14,-12,-418,-156,314,188
-6,-4,-3,18,-13,-19,-14,-4,134,130,-213,-15
1,-13,20,17,5,17,20,-20,-255,277,440,0
12,5,-6,3,-16,-9,-17,-20,-277,-208,45,-6
-10,12,-9,4,-5,2,-11,-17,-82,-224,1,-86
-15,-5,10,-12,-3,17,3,-15,30,-180,-66,350
-11,-19,-1,11,-15,-13,11,-13,-44,390,136,-130
-20,10,9,-14,0,6,-9,-5,-90,-170,126,124
0,3,18,-17,19,-11,-1,18,-3,54,359,-504
-13,4,20,-10,13,12,-13,-3,-221,-168,390,270
-6,18,-8,18,-13,-11,3,16,132,354,158,376
-17,20,-14,0,2,19,-10,11,-234,-103,-28,-266
-12,-20,-3,-17,-16,5,-11,-19,412,320,235,308
16,18,19,7,10,-17,16,-11,448,-470,302,-400
